"chem","synonyms","cas","reference","Categories of Use","Use References","Date Added","Date Updated",,,
"1,2,3,4,7,8-hexabromodibenzo-p-dioxin","1,2,3,4,7,8-HxBDD","110999-44-5","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173","Byproduct/Intermediate/Reactant","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173?via%3Dihub  WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"1,2,3,4,7,8-hexabromodibenzofuran","1,2,3,4,7,8-HxBDF","129880-08-6","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173","Byproduct/Intermediate/Reactant","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173?via%3Dihub  WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"1,2,3,4,7,8-hexachlorodibenzofuran","1,2,3,4,7,8-HxCDF","70648-26-9","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"1,2,3,4,7,8-hexaclorodibenzo-p-dioxin","1,2,3,4,7,8-hexaCDD","39227-28-6","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L, Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1):21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","Byproduct/Intermediate/Reactant","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L and Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1): 21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","01/20/2017","01/20/2017",,,
"1,2,3,4,8-pentachlorodibenzofuran","1,2,3,4,8-PeCDF","67517-48-0","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X","Byproduct/Intermediate/Reactant","ATSDR. 1994. Toxicological profile for Chlorodibenzofurans. URL: http://www.atsdr.cdc.gov/ToxProfiles/tp32.pdf  Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: https://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011",,,,
"1,2,3,5,6,7-hexachloronaphthalene","PCN-67; 1,2,3,5,6,7-HxCN","103426-97-7","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,5,6,8-hexachloronaphthalene","PCN-68; 1,2,3,4,6,8-HxCN","103426-95-5","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,5,7,8-hexachloronaphthalene","PCN-69; 1,2,3,5,7,8-HxCN","103426-94-4","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,6-tetrachlorodibenzofuran","1,2,3,6-TCDF","83704-21-6","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"1,2,3,6,7-pentachloronaphthalene","PCN-54; 1,2,3,6,7-PeCN","150224-16-1","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,6,7,8-hexachlorodibenzofuran","1,2,3,6,7,8-HxCDF","57117-44-9","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"1,2,3,6,7,8-hexachloronaphthalene","PCN-70; 1,2,3,6,7,8-HxCN","17062-87-2","Behnisch PA, Hosoe K, Sakai S. 2003. Brominated dioxin-like compounds: In vitro assessment in comparison to classical dioxin-like compounds and other polyaromatic compounds. Environment International 29(6):861-877. DOI: 10.1016/S0160-4120(03)00105-3. URL: https://www.sciencedirect.com/science/article/pii/S0160412003001053","Byproduct/Intermediate/Reactant","Bidleman T F, Helm PA, Braune BM and Gabrielsen GW. 2010. Polychlorinated naphthalenes in polar environments--a review. Sci Total Environ 408(15):2919-2935. DOI: 10.1016/j.scitotenv.2009.09.013. URL: https://www.sciencedirect.com/science/article/pii/S0048969709008572?via%3Dihub","01/20/2017","01/20/2017",,,
"1,2,3,7-tetrachlorodibenzofuran","1,2,3,7-TCDF","83704-22-7","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"1,2,3,7,8-pentabromodibenzo-p-dioxin","1,2,3,7,8-PeBDD","109333-34-8","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173","Byproduct/Intermediate/Reactant","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173?via%3Dihub  WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"1,2,3,7,8-pentabromodibenzofuran","1,2,3,7,8-PeBDF","107555-93-1","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173","Byproduct/Intermediate/Reactant","Hornung MW, Zabel EW, Peterson RE. 1996. Toxic equivalency factors of polybrominated dibenzo-p-dioxin, dibenzofuran, biphenyl, and polyhalogenated diphenyl ether congeners based on rainbow trout early life stage mortality. Toxicol Appl Pharmacol 140(2):227-234. DOI: 10.1006/taap.1996.0217. URL: https://www.sciencedirect.com/science/article/pii/S0041008X96902173?via%3Dihub  WHO. 1994. Brominated diphenyl ethers. Environmental Health Criteria 162. URL: http://www.inchem.org/documents/ehc/ehc/ehc162.htm","05/05/2011","05/05/2011",,,
"1,2,3,7,8-pentachlorodibenzofuran","1,2,3,7,8-PeCDF","57117-41-6","Bandiera S, Sawyer T, Romkes M, Zmudzka B, Safe L, Mason G, Keys B, Safe S. 1984. Polychlorinated dibenzofurans (PCDFs): effects of structure on binding to the 2,3,7,8-TCDD cytosolic receptor protein, AHH induction and toxicity. Toxicology 32(2):131-144. DOI: 10.1016/0300-483X(84)90132-X. URL: http://www.sciencedirect.com/science/article/pii/0300483X8490132X  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"1,2,3,7,8-pentaclorodibenzo-p-dioxin","1,2,3,7,8-pentaCDD","40321-76-4","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L, Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1):21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","Byproduct/Intermediate/Reactant","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L and Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1): 21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","01/20/2017","01/20/2017",,,
"1,2,3,7,9-pentachlorodibenzofuran","1,2,3,7,9-PeCDF","83704-53-4","Harris M, Zacharewski T, Safe S. 1990. Effects of 2,3,7,8-tetrachlorodibenzo-p-dioxin and related compounds on the occupied nuclear estrogen receptor in MCF-7 human breast cancer cells. Cancer Res 50(12):3579-3584. URL: http://cancerres.aacrjournals.org/content/50/12/3579.long  Krishnan V, Safe S. 1993. Polychlorinated biphenyls (PCBs), dibenzo-p-dioxins (PCDDs), and dibenzofurans (PCDFs) as antiestrogens in MCF-7 human breast cancer cells: quantitative structure-activity relationships. Toxicol Appl Pharmacol 120(1):55-61. DOI: 10.1006/taap.1993.1086. URL: https://www.sciencedirect.com/science/article/pii/S0041008X83710860?via%3Dihub  Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","Byproduct/Intermediate/Reactant","Mason G, Sawyer T, Keys B, Bandiera S, Romkes M, Piskorska-Pliszczynska J, Zmudzka B, Safe S. 1985. Polychlorinated dibenzofurans (PCDFs): correlation between in vivo and in vitro structure-activity relationships. Toxicology 37(1-2):1-12. DOI: 10.1016/0300-483X(85)90108-8. URL: https://www.sciencedirect.com/science/article/pii/0300483X85901088","05/05/2011","05/05/2011",,,
"1,2,4-triclorodibenzo-p-dioxin","1,2,4-triCDD","39227-58-2","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L, Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1):21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","Byproduct/Intermediate/Reactant","Mason G, Farrell K, Keys B, Piskorska-Pliszczynska J, Safe L and Safe S. 1986. Polychlorinated dibenzo-p-dioxins: Quantitative in vitro and in vivo structure-activity relationships. Toxicology 41(1): 21-31. DOI: 10.1016/0300-483X(86)90101-0. URL: https://www.sciencedirect.com/science/article/pii/0300483X86901010","01/20/2017","01/20/2017",,,
